Index,Number
110,10010110101011010011001111010001000110001110000100011101100001010100011101111110101110111010110001101001010110101100110001101001
111,10010110011010101000001001000111010100001000001010011001100011110000000010011000100010100100100101111000001111010100111110001110
112,00011111100010100011001011011010101111101110111001011101000001000101111111001101000000111000100110001110101101111111101111000001
113,01000010100110010101101101000000001111011010111001010111111010100100100101110101111111101100110011111100111001010001001000000100
114,11010101100000011111100111101010100101000111100101100111010001101011011000111101001010100101000001010001001110000110101111111101
115,10111110111110111111000111011111111000010010111010010110110000110100010111011011011101000011001101100110001101110011000111110111
116,11000100010001010110111011111110011010011101101001110101111100111010001110000000010110011010000100100100011111101000010001111101
117,10110100100011000111000001111011110100000101001101010001011010111110111101011110001100011011010111011000111101101010111011101010
118,01011101110101100001100001100011100101110110100001110111011110110011000001010001101010101111011100010111100101010010001001101111
119,10111100100010011001000000101111001101001010111100010001111111110011111011100000000100100000100011001101000000111010101011111011
120,01000110001111011010101111111101011111110001100000111111101010000001110111101100001001111111110011110101011101110001010110111101
121,11111110100011011111001110000010011110111101110110111001011011100100001101110001000101010111101110111111000011110010100100101100
122,00101110111011110111010110000110010101001111110000011100111110001011111110011011000100001111111000111110111110101111101001110110
123,11111111100011001000111001010110001101000100100110110110110011101010101111111111111011101000111010101101100000111101101110101101
124,10101111000111100101001010010110111111010100001010110111111000101010000011111010000011111110110111111110000001000001111001111011
125,11000100111010111010110101001110000001011111011111010010101001111110101010010010100010101011100111001111010011110110011111101001
126,00100011011011101100111110101010011000111000011101011101101000001101111001111011001001111011011001010010000111010100000000101000
127,10000110100011010010111111010101011110001101010111001111010110011000010101110100111101000101011110010001100011111100101100111011
128,01010011010001101001101101011111101000011101110011111010001000111100111011101001011010001101101000101111010010111001111110100110
129,00101101000010110100101101000011000011100011010101110010101101010000110011111000100101111101011100001101111100110110111010100101
130,01011001101001101101010101101010011010010011100010000111101000000010010101110110001010101000110111000101110000010010111010010110
131,10100010100000100010110101101111111111100111111101100011110010101111011110101111101010010100100101001000001101001011100100100111
132,11101001010000110111110001011011111111011111111101101101101010010111011010100011010101111101011000010110000100010010111110010010
133,01000111100101001111011111100110000101101011111101001110110110111111011011001000000000101101100111001100011101101001011010011101
134,10010111011011001010110111001111101111101100110110110001011000010111011100101110101110000101111100010100101110111100010011101110
135,11110011110110100101100110111011111101100111011111110101100011110010000100000110010100101011111100100101100001100101010111101001
136,01010011101100110111000111101111011001001110111110100101000010101111000111100001010110010010100001000110010001101000100101111101
137,00100011100111101111000000011111111100010100000010100000111111001011100000101100100011000011111111001010111000000111011000000111
138,01010111101001101100100100000101001110000110101111101000100111000001001010101010110010011001011110011000101001011101100110100110
139,10001100100000100010000010111101011101000010011100010111110011110001000000110011000111001001000100010011000011110101101101110010
140,11110001111101110011000111100111100100101110100001101110000010110111001011110011101110110100010010010011000010001100111001000111
141,01010111110100111010101101111110110111100101101110000110011011001111011001010111001111010111111011100000111011001011010101101111
142,01011101000100001100001111010110011011000100000110000001000101001000100001010100110001111010010011100100000110011000111000111100
143,10001100110010100101011110110101100100101011000000110000101011011101111000001100101100110110001110001110101101110111101000111011
144,10110000100101100100001011010110011100010111001011111111011111101111001011000100101100111010011000101000001101011111111111111011
145,01000001101111101100001111111110010111010101100111000110100010010111011011001010101000111101001111011100000011100011111010011000
146,10001110010100011011111110100100110010110011000110010011111001011111100001111110000010011100110010111110111100100101111010110100
147,00100101011010010110110100101010100000111011111000100011010000000010101110100101000100100011001101011011111011101111110111111010
148,10101111000100110011010111011101001001111110001100101111111010110101000010001010110101001001011110000011101101001111110011001100
149,00000101110010001100011001001010101111001101010101010100011101110100100111010110100000100101000010011001000010000110101001100011
150,00111010010100011000011111010101101111101100011000110010101111001101010110111001001110000111001010001111000011111111000011110110
151,01000011101111001010001110000101110100110011011001010100011110010000110101100101010110111010111100011100110010100000110110001000
152,00100101101111000011000010000110001011111011000110011000010111000111110010111001111110111111000010111100011001111111100111011011
153,11101111010001011111010000001100100110011110000101010110110101111010110100111000101011010010111101101110011001011001111101011111
154,10110100001011101010011101011101011001101101001011001110110000001100111000110011110001100100101000010101011101001101000110111101
155,01011101011111001110011010101001110111011110000110100101101011001100110110101101000011111101110111100100101001101100001100001101
156,00101110110011111001111100100101111000101001100011110000000001111111011001111010101100001111000000101101101010110101110100010010
157,11110101111101011101100100011111000011001010111011011100001100111010100001111011111110110110100110100110011001000010101101100010
158,01110101101111011011011001011100100110110100111010011110011111001000111000101100011011011111000110011101111011100101111111011101
159,01100110110101010110001100010111110100001001001110010100111100010011111001011110100000101000101111010111100010010001001111100001
160,11010100010111101101001000001010011001010111100110001000001101110001101100001110000010111110111010000010001011100110101010001111
161,10001001111000100011101100000000110111110011101001101101011110100000010101011111110110101111111011101101100100111001000111010011
162,11101111011010111101100110101110110001010001010011111011000111000111001001011001111001001010100101100110101001000111100010100111
163,11101110111000101111001110110010000000101100011010110101010111110110101101011011101001010010100111101101001011100010101110100110
164,01101101100101010101100010000111111001000110110011001111010000111010001000111001010010101001110100110101001011010010001001001001
165,11110000110110100001110111111000101111111111110001101111101000101011010101001111100001110011001000010011111010101111100111110111
166,11001111110000111011111110110001000011100011011111011011100001101011001110000000011001111101101010001001100000101110011001101011
167,01001100001101110000000101101101001000111110000110110010101010010011010110100001110010101000001001111000011111000000111111000111
168,11110110010001001011001101110000101110011110011110001001110100111100111001011100100010110100101110010111010101000110101010001011
169,01001111111110101000111001000011011010111001101111110111001001010110111101010100101011100111011110001110101100010101011111111111
170,01110001011010011100100111111100101011111010110101101011010101110111111100110011111001011010010001101110011011110111000011001101
171,11101111111001011110011010010000101111100000110100010101100000111011111000111000010111100100011110100111011001011010111011101100
172,01001011110101101011100101000011001111101011100110101101000101111001111000110000101011011100011101001110010101110010101010001000
173,10101111010000111111100011110001001101111100100010110000001111000100000110100110110010011111111000000010101000001010010011110101
174,01010101010011100001010110100001010110110110101101011111110111010100010101111011101111110000010000000100101111110011001110011001
175,11001110001010110111000001100010011101011101001010100010000000011000011011110000011101110110001011001000111011000100110011000000
176,00001010111011000100101110011011110100100110100010001100011000100101100010000110101011110110000011001110111001111001010110101101
177,11101010011101011111011001100100110010001001010101110010110110110001010011001100101101101111101010010111010011011100011100010001
178,10001101100011110010010110110011000000111001100000011101100011010111011100011101110101000110111110001110110011001001110001111100
179,01110011111011111000001000011100001110111010101101001101100110001001111010111011000000111111100010110010111001010101100110110111
180,00011101110000011001110111101100101111101100011110110011001110000001110011011010000010011000011001110011100111010101101011101010
181,11011001000100010101001101110011100001011100000111011000111111001011111111001000001100100000100000110100111110101111100001011110
182,00110010001111101001111001100100101101111010001011010111100111010010010110101000001111010000011111101111010110101100101111101000
183,10011010000100011011110100000111010111000111001001000101000101100110101110110010001001111011101110010000010000011101110111110001
184,01110111100100111011101000111011111110001100111001010100111110001000110110011101000110111001010111101101100011001101111100101110
185,11010101011011001111110100011100110110110000001110011011010111100100111000010100000010111011110000010001101101101101011111111110
186,11100100010010101101110000011011111110100100101011100110110111101010110111010111000001110110110001010000010100101010110101111100
187,00100101100101100110001001101110101110100111110110110101101011101101110001110110011101010101100000100010011010011111010011000101
188,01000011001000110011011010101101110000100110101100011010101011010000001110001111100101001011011000010000011101100000011111111000
189,11010010000111000010100100110110111111110011110011111010111100101001001100101001110101110010110000101100111111101000110110111100
190,01110100010100001100001011100101100101110011010110111111010011100100111100011110011001111101110010010110111111110101100010010000
191,11000011000010001100101011111001101100000001101000010001011111001001101001010010011011000110001101101010111101110010011110010000
192,10011111111011000110100001010001101111011100001111110110001000111011011111011111010111010000101100011010100011011110011110001111
193,10111011111100100111111011111100011101101010001001011101101101010111111000011000011011100111111000100111101011001010110100001111
194,01010011000110000101111101001110101100011101111100111101111101010101010111110001110011101110100001011110101111111000001110000101
195,01001101010100111010001100010001010110111011111001110010000010100101001011011000011001010101111111010000000101110011100101110111
196,11100111111101011101111011000010100010011001011101000111110000001100101101000010000011110111001000001111111000100110110101111000
197,11111001111011011010110110110011001110100001100011001010111101011101010000101010100110111011101110101111101111110111011110010110
198,11100011011101111100100111011101000011011010111111001110010000111101011010010011010010000000101000000010001110101001001011010011
199,01111100011111111010100001010100110110100011110101101111011111110101100100110101101101111000001011111011110110001001111010111010
